Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 50 confirmed, 50 FP
  [ 80/100] FP   K00133.01    (depth=   4399 ppm) ... OK  (3s, p_dip=-0.0045, s_dip=-0.0045)
  [ 81/100] FP   K01290.01    (depth=   3823 ppm) ... OK  (2s, p_dip=-0.0041, s_dip=-0.0041)
  [ 82/100] FP   K04085.01    (depth=   3426 ppm) ... OK  (3s, p_dip=-0.0027, s_dip=-0.0027)
  [ 83/100] FP   K03741.01    (depth=   3090 ppm) ... OK  (3s, p_dip=-0.0032, s_dip=-0.0032)
  [ 84/100] FP   K01829.01    (depth=   2941 ppm) ... OK  (2s, p_dip=-0.0005, s_dip=-0.0005)
  [ 85/100] FP   K00068.01    (depth=   2714 ppm) ... OK  (2s, p_dip=-0.0024, s_dip=-0.0024)
  [ 86/100] FP   K00225.01    (depth=   2482 ppm) ... OK  (2s, p_dip=-0.0025, s_dip=-0.0025)
  [ 87/100] FP   K08190.01    (depth=   2320 ppm) ... OK  (2s, p_dip=-0.0022, s_dip=-0.0022)
  [ 88/100] FP   K05999.01    (depth=   2139 ppm) ... OK  (2s, p_dip=-0.0018, s_dip=-0.0018)
  [ 89/100] FP   K04228.01    (depth=   2023 ppm) ... OK  (2s, p_dip=-0.0019, s_dip=-0.0019)
  [ 90/100] FP   K01995.01    (depth=   1914 ppm) ... OK  (2s, p_dip=-0.0005, s_dip=-0.0005)
  [ 91/100] FP   K01157.01    (depth=   1718 ppm) ... OK  (2s, p_dip=-0.0016, s_dip=-0.0016)
  [ 92/100] FP   K03074.01    (depth=   1632 ppm) ... OK  (2s, p_dip=-0.0017, s_dip=-0.0017)
  [ 93/100] FP   K00731.01    (depth=   1527 ppm) ... OK  (2s, p_dip=-0.0014, s_dip=-0.0014)
  [ 94/100] FP   K03852.01    (depth=   1392 ppm) ... OK  (2s, p_dip=-0.0019, s_dip=-0.0019)
  [ 95/100] FP   K06181.01    (depth=   1326 ppm) ... OK  (2s, p_dip=-0.0010, s_dip=-0.0010)
  [ 96/100] FP   K07747.01    (depth=   1243 ppm) ... OK  (2s, p_dip=-0.0015, s_dip=-0.0015)
