name,period_d,depth_ppm,snr,prob,pred_discovery,pred_strict,truth
TOI-4512.01,19.56204605102539,1397.8148985,3.4726163307069036,0.8896768093109131,1,1,1
TOI-5524.01,2.2979915142059326,1354.9640916,4.864813070715492,0.8260078430175781,1,1,1
TOI-333.01,3.7852327823638916,1338.8791278,4.6684078668989635,0.7968209385871887,1,1,1
TOI-2081.01,10.505435943603516,1320.6016253,11.93241149893784,0.8735135793685913,1,1,1
TOI-2018.01,7.43557071685791,1310.6803156,15.260030523640255,0.8784904479980469,1,1,1
TOI-4491.01,5.006621837615967,1290.0,10.220486228890417,0.8697132468223572,1,1,1
TOI-444.01,17.96350860595703,1266.94519,4.894968299439063,0.8912495374679565,1,1,1
TOI-1339.01,8.880328178405762,1238.0,65.51554331287704,0.8737603425979614,1,1,1
TOI-6251.01,12.761470794677734,1215.2495801,2.7437886393991153,0.8828216195106506,1,1,1
TOI-5558.01,26.194454193115234,1202.7716675,2.6903326081447636,0.8826323747634888,1,1,1
TOI-1695.01,3.1342945098876953,1183.6060713,11.203514415854823,0.8438621163368225,1,1,1
TOI-4559.01,3.964905261993408,1160.5626137,6.627377206451155,0.8862932920455933,1,1,1
TOI-139.01,11.070857048034668,1149.7328034,6.603132286095812,0.8728137016296387,1,1,1
TOI-1174.01,8.95347785949707,1136.0,8.925118020814246,0.892086923122406,1,1,1
TOI-1064.01,6.443865776062012,1121.9512275,9.053663418949345,0.8853511214256287,1,1,1
TOI-5111.01,3.355721950531006,1101.0,5.847135395413668,0.8595981001853943,1,1,1
TOI-178.03,9.961634635925293,1084.4327062,6.276301236975679,0.8896917104721069,1,1,1
TOI-4308.01,9.151277542114258,1074.0,5.304831258247818,0.8876595497131348,1,1,1
TOI-6038.01,5.826731204986572,1068.0,6.472709684881239,0.854878306388855,1,1,1
TOI-1184.01,5.748444080352783,1041.0,36.61300647821721,0.8792042136192322,1,1,1
TOI-4551.01,9.95629596710205,1024.0,4.570645515104377,0.8672927618026733,1,1,1
TOI-3742.01,8.927901268005371,49560.0,34.77029779402497,0.3755750358104706,0,0,0
TOI-464.01,0.8185672163963318,44712.1811611,4.713724799801222,0.0011122068390250206,0,0,0
TOI-384.01,9.307339668273926,42774.4,20.691229057687774,0.160196915268898,0,0,0
TOI-4188.01,10.281328201293945,37333.9631684,30.618714574757757,0.29848745465278625,0,0,0
TOI-3921.01,23.255611419677734,35720.0,5.525562357271849,0.15073268115520477,0,0,0
TOI-3799.01,8.206486701965332,29281.2259569,42.13535052769619,0.28769451379776,0,0,0
TOI-1555.01,2.0998899936676025,27336.4,66.30979828027998,0.5789377093315125,1,1,0
