name,depth_ppm,truth,prob_baseline,pred_baseline,prob_norm_0.0015,pred_norm_0.0015,target_depth
TOI-1064.01,1121.9512275,1,0.8853511214256287,1,0.8736801743507385,1,0.0015
TOI-5111.01,1101.0,1,0.8595981001853943,1,0.8373985886573792,1,0.0015
TOI-178.03,1084.4327062,1,0.8896917104721069,1,0.8799613118171692,1,0.0015
TOI-4308.01,1074.0,1,0.8876595497131348,1,0.8758498430252075,1,0.0015
TOI-6038.01,1068.0,1,0.854878306388855,1,0.7614484429359436,1,0.0015
TOI-1184.01,1041.0,1,0.8792042136192322,1,0.8658894300460815,1,0.0015
TOI-4551.01,1024.0,1,0.8672927618026733,1,0.6640748381614685,1,0.0015
TOI-3742.01,49560.0,0,0.3755750358104706,0,0.8130413889884949,1,0.0015
TOI-464.01,44712.1811611,0,0.0011122068390250206,0,0.44243156909942627,1,0.0015
TOI-384.01,42774.4,0,0.160196915268898,0,0.8404504060745239,1,0.0015
TOI-4188.01,37333.9631684,0,0.29848745465278625,0,0.8139956593513489,1,0.0015
TOI-3921.01,35720.0,0,0.15073268115520477,0,0.8696990013122559,1,0.0015
TOI-3799.01,29281.2259569,0,0.28769451379776,0,0.7982232570648193,1,0.0015
TOI-1555.01,27336.4,0,0.5789377093315125,1,0.768937885761261,1,0.0015
TOI-1963.01,27095.439949,0,0.3844296336174011,0,0.7996633052825928,1,0.0015
TOI-3109.01,26290.0,0,0.05654992535710335,0,0.5567147135734558,1,0.0015
TOI-528.01,24987.7992456,0,0.1290152221918106,0,0.7266156077384949,1,0.0015
TOI-4181.01,24379.9383482,0,6.466441604402462e-09,0,0.04836299270391464,0,0.0015
TOI-236.01,23574.842911,0,0.2079959511756897,0,0.5193750858306885,1,0.0015
TOI-2157.01,21600.0,0,0.4785400629043579,1,0.7953494787216187,1,0.0015
TOI-758.01,21146.5262939,0,0.4326506555080414,1,0.6929289698600769,1,0.0015
TOI-549.01,20289.210823,0,0.0015266946284100413,0,0.031081650406122208,0,0.0015
TOI-3528.01,19601.2829646,0,0.09949112683534622,0,0.5241838097572327,1,0.0015
TOI-432.01,18890.4,0,0.3829078674316406,0,0.5041518211364746,1,0.0015
TOI-3408.01,18000.0,0,0.250741571187973,0,0.8486307263374329,1,0.0015
TOI-4985.01,17670.0,0,0.06671629846096039,0,0.7216553688049316,1,0.0015
TOI-6143.01,16964.0,0,0.282646119594574,0,0.7097752690315247,1,0.0015
TOI-964.01,16763.6,0,0.31578612327575684,0,0.7053440809249878,1,0.0015
TOI-1299.01,16410.0,0,0.6041076183319092,1,0.7460471987724304,1,0.0015
TOI-1474.01,15867.9920175,0,0.21006961166858673,0,0.7264907956123352,1,0.0015
TOI-3343.01,15360.0,0,0.019611980766057968,0,0.7795571684837341,1,0.0015
TOI-2047.01,14765.0,0,0.496637225151062,1,0.7820732593536377,1,0.0015
TOI-1017.01,14177.7,0,0.3435555100440979,0,0.4623977243900299,1,0.0015
TOI-1615.01,13317.0,0,0.5178082585334778,1,0.7374151945114136,1,0.0015
TOI-2017.01,12929.0,0,0.5635860562324524,1,0.7759832143783569,1,0.0015
TOI-4000.01,12813.0,0,0.282135933637619,0,0.6798633337020874,1,0.0015
TOI-3684.01,12400.0,0,0.34572741389274597,0,0.7839460372924805,1,0.0015
TOI-2341.01,12050.0,0,0.1587001532316208,0,0.5419355630874634,1,0.0015
TOI-3507.01,11010.0,0,0.021650902926921844,0,0.18949976563453674,0,0.0015
TOI-3011.01,10500.0,0,0.27344945073127747,0,0.657285749912262,1,0.0015
TOI-1168.01,10325.0,0,0.6051570177078247,1,0.689781129360199,1,0.0015
TOI-3796.01,9980.0,0,0.0026918717194348574,0,0.8713758587837219,1,0.0015
TOI-3512.01,9840.0,0,0.533397912979126,1,0.8282626867294312,1,0.0015
TOI-3541.01,9640.0,0,0.07676006853580475,0,0.5902509093284607,1,0.0015
TOI-1647.01,9189.0,0,0.6510655283927917,1,0.8183759450912476,1,0.0015
TOI-3753.01,9000.0,0,0.40486496686935425,1,0.7928300499916077,1,0.0015
TOI-6020.01,8817.0,0,0.606645405292511,1,0.754162073135376,1,0.0015
TOI-846.01,8761.57,0,0.01931162178516388,0,0.8774528503417969,1,0.0015
TOI-147.01,8643.1016455,0,0.596517026424408,1,0.7792758345603943,1,0.0015
TOI-1041.01,8350.0,0,0.7255058884620667,1,0.6391156911849976,1,0.0015
TOI-4217.01,8164.5762553,0,0.011431085877120495,0,0.1712654083967209,0,0.0015
TOI-1460.01,8029.880305,0,0.6126115322113037,1,0.7762163877487183,1,0.0015
TOI-679.01,7873.0,0,0.5314258337020874,1,0.6854642033576965,1,0.0015
TOI-1186.01,7576.0,0,0.49985888600349426,1,0.620998203754425,1,0.0015
TOI-1018.01,7440.0,0,0.690245509147644,1,0.8382433652877808,1,0.0015
TOI-1145.01,7350.0,0,0.8591252565383911,1,0.8630992770195007,1,0.0015
TOI-6447.01,7197.0,0,0.003377968445420265,0,0.3592068552970886,0,0.0015
TOI-1996.01,7120.0,0,0.54668128490448,1,0.3605108857154846,0,0.0015
TOI-1788.01,6980.0,0,0.6961110830307007,1,0.8267261981964111,1,0.0015
TOI-848.01,6740.0,0,0.8611780405044556,1,0.8394603133201599,1,0.0015
TOI-4849.01,6620.0,0,0.27702704071998596,0,0.7137603163719177,1,0.0015
TOI-526.01,6458.9029552,0,0.6833072304725647,1,0.7995489239692688,1,0.0015
TOI-1649.01,6423.0,0,0.5410761833190918,1,0.6829712986946106,1,0.0015
TOI-425.01,6281.32,0,0.3841513991355896,0,0.6421986222267151,1,0.0015
TOI-2845.01,6190.0,0,0.3384320139884949,0,0.7070035338401794,1,0.0015
TOI-2571.01,6100.0,0,0.6160791516304016,1,0.7419815063476562,1,0.0015
TOI-1120.01,6030.0,0,0.07077816873788834,0,0.21617157757282257,0,0.0015
