  Resuming from data/kepler_tce_2000.pt: 684 TCEs already downloaded.
Fetching Kepler target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 350 confirmed, 764 FP
  Skipping 684 already-downloaded; 430 remaining.
  [ 61/430] FP   K06045.01      (depth=   6155 ppm) ... OK  (8s, p_dip=-0.0061, s_dip=-0.0061, oe_amp=0.0003)
  [ 62/430] FP   K01287.01      (depth=   6120 ppm) ... OK  (7s, p_dip=-0.0049, s_dip=-0.0049, oe_amp=0.0023)
  [ 63/430] FP   K06894.01      (depth=   6085 ppm) ... OK  (2s, p_dip=-0.0059, s_dip=-0.0059, oe_amp=0.0001)
  [ 64/430] FP   K01461.01      (depth=   6084 ppm) ... OK  (8s, p_dip=-0.0074, s_dip=-0.0074, oe_amp=0.0008)
  [ 65/430] FP   K03982.01      (depth=   6072 ppm) ... OK  (4s, p_dip=-0.0061, s_dip=-0.0061, oe_amp=0.0008)
  [ 66/430] FP   K00838.01      (depth=   6044 ppm) ... OK  (2s, p_dip=-0.0051, s_dip=-0.0051, oe_amp=0.0003)
  [ 67/430] FP   K05804.01      (depth=   6012 ppm) ... OK  (7s, p_dip=-0.0115, s_dip=-0.0115, oe_amp=0.0009)
  [ 68/430] FP   K06381.01      (depth=   5995 ppm) ... OK  (7s, p_dip=-0.0056, s_dip=-0.0056, oe_amp=0.0001)
  [ 69/430] FP   K01795.01      (depth=   5945 ppm) ... OK  (3s, p_dip=-0.0060, s_dip=-0.0060, oe_amp=0.0013)
  [ 70/430] FP   K06175.01      (depth=   5915 ppm) ... OK  (8s, p_dip=-0.0043, s_dip=-0.0043, oe_amp=0.0016)
  [ 71/430] FP   K01034.01      (depth=   5897 ppm) ... OK  (7s, p_dip=-0.0044, s_dip=-0.0044, oe_amp=0.0005)
  [ 72/430] FP   K07397.01      (depth=   5880 ppm) ... OK  (2s, p_dip=-0.0082, s_dip=-0.0082, oe_amp=0.0004)
  [ 73/430] FP   K04929.01      (depth=   5832 ppm) ... OK  (9s, p_dip=-0.0007, s_dip=-0.0007, oe_amp=0.0001)
  [ 74/430] FP   K01035.01      (depth=   5812 ppm) ... OK  (9s, p_dip=-0.0056, s_dip=-0.0056, oe_amp=0.0001)
  [ 75/430] FP   K01776.01      (depth=   5795 ppm) ... OK  (2s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0006)
  [ 76/430] FP   K07508.01      (depth=   5675 ppm) ... OK  (8s, p_dip=-0.0070, s_dip=-0.0070, oe_amp=0.0057)
  [ 77/430] FP   K03799.01      (depth=   5674 ppm) ... OK  (7s, p_dip=-0.0051, s_dip=-0.0051, oe_amp=0.0006)
  [ 78/430] FP   K07409.01      (depth=   5664 ppm) ... OK  (3s, p_dip=-0.0046, s_dip=-0.0046, oe_amp=0.0040)
  [ 79/430] FP   K00540.01      (depth=   5624 ppm) ... OK  (9s, p_dip=-0.0015, s_dip=-0.0015, oe_amp=0.0016)
  [ 80/430] FP   K00997.01      (depth=   5560 ppm) ... OK  (10s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0002)
  [ 81/430] FP   K01041.01      (depth=   5536 ppm) ... OK  (4s, p_dip=-0.0047, s_dip=-0.0047, oe_amp=0.0008)
  [ 82/430] FP   K03792.01      (depth=   5497 ppm) ... OK  (10s, p_dip=-0.0060, s_dip=-0.0060, oe_amp=0.0037)
  [ 83/430] FP   K01777.01      (depth=   5495 ppm) ... OK  (8s, p_dip=-0.0059, s_dip=-0.0059, oe_amp=0.0017)
  [ 84/430] FP   K03796.01      (depth=   5444 ppm) ... OK  (5s, p_dip=-0.0054, s_dip=-0.0054, oe_amp=0.0012)
  [ 85/430] FP   K00243.01      (depth=   5424 ppm) ... OK  (10s, p_dip=-0.0046, s_dip=-0.0046, oe_amp=0.0005)
  [ 86/430] FP   K01791.01      (depth=   5407 ppm) ... OK  (9s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0001)
  [ 87/430] FP   K01462.01      (depth=   5367 ppm) ... OK  (3s, p_dip=-0.0054, s_dip=-0.0054, oe_amp=0.0012)
  [ 88/430] FP   K05992.01      (depth=   5283 ppm) ... OK  (4s, p_dip=-0.0041, s_dip=-0.0041, oe_amp=0.0001)
