kepoi_name,ss,snr
K01194.01,0,28.1
K01194.02,0,14.4
K01194.03,0,14.9
K00152.02,0,79.3
K00987.01,0,41.0
K00988.01,0,41.9
K00988.02,0,26.3
K00989.01,0,63.0
K00989.02,0,121.1
K00135.01,0,1225.3
K01058.01,0,37.3
K01059.01,0,21.6
K01060.01,0,33.4
K01060.02,0,20.9
K01060.03,0,22.8
K01119.02,0,16.5
K01120.01,1,765.0
K01121.01,1,930.3
K01122.01,1,245.6
K01123.01,1,185.0
K01124.01,1,102.8
K01199.01,0,34.5
K01200.01,0,64.8
K01201.01,0,19.6
K01202.01,0,22.6
K00152.03,0,80.8
K01203.01,0,25.3
K00989.03,0,52.8
K00990.01,0,1328.2
K00991.01,0,32.4
K00992.01,0,26.2
K00993.01,0,23.0
K01060.04,0,15.7
K00140.01,1,86.2
K01061.01,0,28.3
K01062.01,1,21.0
K01063.01,1,3420.3
K01064.01,1,717.4
K00015.01,1,253.4
K00148.01,0,115.4
K01125.01,1,100.0
K01126.01,1,55.9
K01127.01,0,34.1
K01187.01,1,251.9
K01188.01,0,48.2
K01189.01,1,86.1
K01190.01,0,82.4
K01191.01,0,37.0
K01192.01,0,164.0
K00993.02,0,19.4
K00994.01,0,20.0
K00995.01,1,65.8
K00996.01,1,79.4
K00997.01,0,414.4
K00136.01,1,175.9
K01065.01,1,282.6
K01066.01,0,537.7
K01067.01,1,938.2
K01068.01,1,73.9
K01069.01,0,74.0
K01127.02,0,10.7
K01127.03,0,12.1
K01128.01,0,82.6
K01129.01,0,16.9
K01130.01,1,349.2
K01132.01,0,124.6
K01196.01,0,27.1
K01197.01,1,53.7
K01198.01,0,31.3
K01198.02,0,16.4
K01198.03,0,18.5
K01198.04,0,
K00998.01,1,704.5
K00999.01,0,41.9
K00999.02,0,14.0
K01000.01,0,33.1
K01001.01,0,54.8
K01069.02,0,29.5
K00141.01,0,361.1
K01070.01,0,31.5
K01070.02,0,30.5
K01070.03,0,5.2
K01133.01,1,146.3
K00148.02,0,178.0
K01134.01,0,63.2
K01134.02,0,
K01135.01,0,117.7
K01136.01,0,
K01203.02,0,23.0
K01203.03,0,12.2
K01204.01,0,28.0
K01205.01,0,38.6
K01206.01,0,61.7
K01001.02,0,29.0
K01002.01,0,23.4
K01003.01,1,425.6
K01004.01,1,63.7
K01005.01,0,155.0
K01071.01,0,45.5
K01072.01,0,38.0
K01073.01,1,19.3
K01074.01,0,100.8
K01075.01,0,269.8
K01076.01,0,63.4
K01138.01,1,78.7
K01139.01,1,76.4
K01140.01,1,202.2
K01141.01,0,20.8
K01142.01,0,27.9
K01143.01,0,34.0
K00941.01,0,116.2
K00129.01,1,603.0
K00941.02,0,45.5
K00941.03,0,56.7
K00942.01,0,53.2
K00137.01,0,437.5
K01006.01,1,37.5
K01007.01,0,23.1
K01008.01,0,66.7
K01009.01,0,17.1
K01010.01,0,
K01077.01,0,21.7
K00142.01,0,302.2
K01078.01,0,47.8
K01078.02,0,39.6
K01078.03,0,28.9
K01079.01,0,170.0
K00148.03,0,66.8
K01144.01,0,27.2
K01145.01,0,33.1
K01146.01,0,18.3
K01147.01,0,26.7
K00943.01,0,50.7
K00944.01,1,156.5
K00945.01,0,27.3
K00945.02,0,28.9
K00946.01,1,36.7
K01011.01,1,2561.1
K01012.01,0,63.0
K01013.01,1,93.3
K01014.01,0,35.9
K01015.01,0,50.4
K01080.01,1,44.3
K01081.01,0,32.9
K01082.01,0,19.0
K01082.02,0,16.2
K01082.03,0,16.5
K01148.01,0,27.7
K01148.02,0,14.3
K01149.01,0,
K01150.01,0,38.7
K01151.01,0,36.7
K01151.02,0,25.6
K00947.01,0,53.8
K00948.01,0,35.6
K00130.01,1,1405.6
K00949.01,0,66.7
K00950.01,0,607.4
K00951.01,0,116.2
K00137.02,0,456.8
K01015.02,0,19.0
K01016.01,0,43.0
K01017.01,0,46.0
K01018.01,0,17.4
K01019.01,0,
K01083.01,0,21.6
K00143.01,1,170.1
K01084.01,0,34.7
K01085.01,0,12.6
K01086.01,0,36.1
K01087.01,1,238.6
K00149.01,0,200.0
K01152.01,1,314.1
K01153.01,0,578.6
K01154.01,0,1441.9
K01155.01,0,549.5
K01156.01,1,179.0
K00951.02,0,41.9
K00952.01,0,56.6
K00952.02,0,44.8
K00952.03,0,46.4
K00952.04,0,28.6
K00952.05,0,45.3
K01020.01,1,628.1
K01021.01,0,42.9
K01022.01,0,29.5
K01023.01,0,39.7
K01024.01,0,51.7
K00137.03,0,67.5
K01088.01,1,272.0
K01089.01,0,318.3
K01089.02,0,90.1
K01090.01,1,180.6
K01091.01,1,56.0
K01092.01,0,236.9
K01157.01,0,365.7
K01158.01,0,30.7
K01159.01,0,61.9
K01160.01,0,38.0
K01161.01,0,35.1
K00953.01,0,166.3
K00013.01,1,4061.9
K00131.01,0,794.3
K00954.01,0,59.1
K00954.02,0,39.3
K01025.01,1,18.3
K01028.01,0,35.4
K01029.01,0,33.6
K01030.01,0,19.3
K01031.01,0,15.6
K00144.01,0,249.7
K01093.01,0,100.1
K01094.01,0,43.2
K01095.01,0,79.7
K01096.01,0,62.5
K01097.01,0,28.3
K00150.01,0,147.2
K01161.02,0,24.6
K01161.03,0,25.6
K01162.01,0,97.4
K01163.01,0,34.7
K00955.01,0,54.3
K00956.01,0,120.9
K00957.01,0,139.5
K00958.01,0,60.0
K00959.01,1,2981.3
K00960.01,1,1642.2
K01032.01,0,83.3
K01034.01,0,130.0
K01035.01,1,603.4
K01036.01,1,2477.0
K01037.01,1,294.8
K00138.01,1,445.7
K01098.01,1,36.7
K01099.01,0,54.7
K01100.01,0,52.4
K01101.01,0,10.5
K01102.01,0,31.7
K01163.02,0,28.6
K01164.01,0,88.8
K01165.01,0,56.3
K01165.02,0,11.4
K01166.01,0,20.8
K01167.01,0,86.3
K00961.01,0,111.4
K00961.02,0,150.4
K00132.01,1,806.5
K00961.03,0,56.9
K00964.01,1,1293.1
K00965.01,1,274.9
K01038.01,0,207.4
K01039.01,1,137.5
K01040.01,0,149.3
K01041.01,1,157.8
K01042.01,1,124.3
K01043.01,1,56.3
K01360.01,0,40.8
K01360.02,0,29.3
K01360.03,0,13.2
K01361.01,0,51.8
K01362.01,0,32.3
K01426.02,0,161.5
K01426.03,0,106.2
K01427.01,0,31.1
K01428.01,0,99.8
K01429.01,0,49.4
K00168.03,0,33.8
K01239.01,0,46.9
K01239.02,0,29.2
K01240.01,0,48.9
K01240.02,0,32.9
K01241.01,0,60.9
K01241.02,0,45.3
K01305.01,0,23.3
K01305.02,0,14.3
K01306.01,0,22.1
K01306.02,0,20.6
K01306.03,0,17.4
K00162.01,0,109.3
K01363.01,0,26.4
K01363.02,0,15.2
K01364.01,0,26.2
K01364.02,0,32.1
K01430.01,0,40.3
K01430.02,0,21.3
K01430.03,0,27.5
K01431.01,0,197.9
K01432.01,0,34.5
K01242.01,0,163.2
K01243.01,1,32.0
K00155.01,0,201.1
K01244.01,0,27.4
K01245.01,0,48.3
K01306.04,0,14.6
K01307.01,0,33.0
K01307.02,0,28.7
K00157.05,0,83.1
K01308.01,0,42.8
K01364.03,0,27.8
K01364.04,0,19.6
K01364.05,0,17.5
K01365.01,0,17.9
K01366.01,0,50.7
K01432.02,0,16.6
K01432.03,0,18.0
K01432.04,0,15.0
K01433.01,0,20.1
K01434.01,0,23.9
K01246.01,0,25.3
K01247.01,1,1454.3
K01248.01,1,396.8
K01249.01,1,898.4
K01250.01,1,272.3
K01251.01,0,426.0
K01309.01,0,50.6
K01310.01,0,31.7
K01311.01,0,54.9
K01312.01,0,25.8
K01313.01,1,48.2
K01366.02,0,29.1
K00018.01,1,2486.5
K00163.01,0,100.3
K01367.01,0,53.8
K01368.01,1,110.3
K00169.01,0,41.3
K01435.01,0,56.4
K01435.02,0,34.4
K01436.01,0,26.8
K01436.02,0,24.6
K01252.01,0,203.6
K01253.01,0,167.1
K00156.01,0,77.5
K01254.01,0,95.5
K01255.01,0,85.2
K01256.01,1,220.3
K01314.01,0,36.9
K01315.01,0,36.3
K01316.01,0,28.5
K01316.02,0,
K00157.06,0,53.8
K01317.01,1,300.6
K01369.01,0,31.9
K01370.01,0,28.1
K01371.01,1,56.9
K01372.01,0,
K01373.01,0,36.9
K01374.01,0,37.7
K01436.03,0,20.2
K01437.01,0,15.5
K01438.01,0,44.0
K01439.01,0,234.6
K01440.01,0,19.0
K01257.01,0,241.9
K01258.01,0,96.8
K01258.02,0,30.0
K01258.03,0,21.8
K01259.01,1,86.7
K01318.01,1,376.5
K01319.01,1,257.8
K01320.01,0,343.4
K01321.01,1,392.2
K01322.01,1,109.7
K01375.01,0,81.7
K01376.01,0,32.9
K00164.01,1,37.6
K01377.01,0,20.9
K01378.01,0,45.0
K00019.01,1,250.8
K00171.01,0,107.1
K01449.01,1,1555.4
K01450.01,1,334.8
K01451.01,1,3622.7
K01452.01,1,104.5
K01260.01,1,31.8
K01261.01,0,162.3
K00156.02,0,56.4
K01261.02,0,18.1
K01262.01,0,93.6
K01263.01,1,62.5
K01323.01,0,247.8
K01324.01,1,169.0
K01325.01,0,150.9
K01326.01,1,1108.5
K00158.01,0,35.3
K01327.01,1,19.3
K01378.02,0,20.8
K01379.01,0,35.3
K01380.01,1,48.5
K01381.01,1,456.6
K01382.01,1,258.8
K01441.01,0,20.7
K00170.01,1,46.9
K01442.01,0,75.3
K01443.01,1,39.3
K01444.01,0,33.8
K01264.01,0,40.1
K01265.01,1,74.5
K01266.01,0,58.0
K01267.01,1,33.6
K01268.01,0,120.4
K01269.01,1,104.5
K01328.01,0,52.0
K01329.01,0,32.6
K01330.01,1,43.0
K01331.01,0,25.5
K01332.01,0,36.3
K01383.01,1,336.4
K01384.01,0,628.3
K01385.01,1,1309.3
K00165.01,0,93.6
K01386.01,1,633.1
K01387.01,1,2065.8
K01445.01,0,36.3
K01445.02,0,7.7
K01445.03,0,
K01446.01,1,292.7
K01447.01,1,420.9
K01447.02,1,366.8
K01448.01,1,91.6
K01270.01,0,59.0
K00156.03,0,163.5
