Fetching TESS target lists from NASA Exoplanet Archive...
  Archive has 952 confirmed, 880 FP
  Selected 200 confirmed, 200 FP
  [ 73/400] CONF TOI-6170.01    (depth=  10819 ppm) ... OK  (1s, p_dip=-0.0082, s_dip=-0.0082, oe_amp=0.0019)
  [ 74/400] CONF TOI-6838.01    (depth=  10693 ppm) ... OK  (1s, p_dip=-0.0093, s_dip=-0.0093, oe_amp=0.0070)
  [ 75/400] CONF TOI-1915.01    (depth=  10585 ppm) ... OK  (5s, p_dip=-0.0061, s_dip=-0.0061, oe_amp=0.0015)
  [ 76/400] CONF TOI-4525.01    (depth=  10361 ppm) ... OK  (3s, p_dip=-0.0066, s_dip=-0.0066, oe_amp=0.0012)
  [ 77/400] CONF TOI-5398.01    (depth=  10290 ppm) ... OK  (1s, p_dip=-0.0019, s_dip=-0.0019, oe_amp=0.0052)
  [ 78/400] CONF TOI-295.01     (depth=  10192 ppm) ... OK  (3s, p_dip=-0.0074, s_dip=-0.0074, oe_amp=0.0011)
  [ 79/400] CONF TOI-2206.01    (depth=  10110 ppm) ... OK  (4s, p_dip=-0.0076, s_dip=-0.0076, oe_amp=0.0008)
  [ 80/400] CONF TOI-559.01     (depth=  10050 ppm) ... OK  (2s, p_dip=-0.0053, s_dip=-0.0053, oe_amp=0.0029)
  [ 81/400] CONF TOI-2580.01    (depth=   9960 ppm) ... OK  (3s, p_dip=-0.0042, s_dip=-0.0042, oe_amp=0.0021)
  [ 82/400] CONF TOI-2176.01    (depth=   9822 ppm) ... OK  (9s, p_dip=-0.0049, s_dip=-0.0049, oe_amp=0.0013)
  [ 83/400] CONF TOI-439.01     (depth=   9748 ppm) ... OK  (4s, p_dip=-0.0056, s_dip=-0.0056, oe_amp=0.0010)
  [ 84/400] CONF TOI-1612.01    (depth=   9597 ppm) ... OK  (11s, p_dip=-0.0082, s_dip=-0.0082, oe_amp=0.0004)
  [ 85/400] CONF TOI-5960.01    (depth=   9491 ppm) ... OK  (2s, p_dip=-0.0089, s_dip=-0.0089, oe_amp=0.0007)
  [ 86/400] CONF TOI-3688.01    (depth=   9406 ppm) ... OK  (2s, p_dip=-0.0063, s_dip=-0.0063, oe_amp=0.0020)
  [ 87/400] CONF TOI-2386.01    (depth=   9248 ppm) ... OK  (1s, p_dip=-0.0076, s_dip=-0.0076, oe_amp=0.0012)
  [ 88/400] CONF TOI-4532.01    (depth=   9178 ppm) ... OK  (3s, p_dip=-0.0048, s_dip=-0.0048, oe_amp=0.0023)
  [ 89/400] CONF TOI-578.01     (depth=   8982 ppm) ... OK  (5s, p_dip=-0.0072, s_dip=-0.0072, oe_amp=0.0011)
  [ 90/400] CONF TOI-1373.01    (depth=   8913 ppm) ... OK  (2s, p_dip=-0.0080, s_dip=-0.0080, oe_amp=0.0004)
  [ 91/400] CONF TOI-7166.01    (depth=   8723 ppm) ... OK  (1s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0027)
  [ 92/400] CONF TOI-2177.01    (depth=   8602 ppm) ... OK  (7s, p_dip=-0.0058, s_dip=-0.0058, oe_amp=0.0017)
  [ 93/400] CONF TOI-6052.01    (depth=   8561 ppm) ... OK  (3s, p_dip=-0.0048, s_dip=-0.0048, oe_amp=0.0030)
  [ 94/400] CONF TOI-1626.01    (depth=   8311 ppm) ... OK  (7s, p_dip=-0.0053, s_dip=-0.0053, oe_amp=0.0008)
  [ 95/400] CONF TOI-2373.01    (depth=   8210 ppm) ... OK  (2s, p_dip=-0.0053, s_dip=-0.0053, oe_amp=0.0023)
  [ 96/400] CONF TOI-1603.01    (depth=   8121 ppm) ... OK  (2s, p_dip=-0.0060, s_dip=-0.0060, oe_amp=0.0012)
  [ 97/400] CONF TOI-574.01     (depth=   8028 ppm) ... OK  (6s, p_dip=-0.0035, s_dip=-0.0035, oe_amp=0.0007)
  [ 98/400] CONF TOI-1295.01    (depth=   7959 ppm) ... OK  (35s, p_dip=-0.0043, s_dip=-0.0043, oe_amp=0.0003)
  [ 99/400] CONF TOI-1855.01    (depth=   7820 ppm) ... Warning: 23% (4253/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
OK  (2s, p_dip=-0.0062, s_dip=-0.0062, oe_amp=0.0011)
  [100/400] CONF TOI-5086.01    (depth=   7778 ppm) ... OK  (5s, p_dip=-0.0050, s_dip=-0.0050, oe_amp=0.0007)
  [101/400] CONF TOI-4138.01    (depth=   7750 ppm) ... OK  (15s, p_dip=-0.0041, s_dip=-0.0041, oe_amp=0.0007)
  [102/400] CONF TOI-2130.01    (depth=   7641 ppm) ... OK  (5s, p_dip=-0.0039, s_dip=-0.0039, oe_amp=0.0006)
  [103/400] CONF TOI-6015.01    (depth=   7531 ppm) ... OK  (2s, p_dip=-0.0044, s_dip=-0.0044, oe_amp=0.0006)
  [104/400] CONF TOI-628.01     (depth=   7500 ppm) ... OK  (2s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0004)
  [105/400] CONF TOI-640.01     (depth=   7390 ppm) ... OK  (3s, p_dip=-0.0050, s_dip=-0.0050, oe_amp=0.0009)
  [106/400] CONF TOI-4486.01    (depth=   7265 ppm) ... OK  (5s, p_dip=-0.0035, s_dip=-0.0035, oe_amp=0.0003)
  [107/400] CONF TOI-2236.01    (depth=   7230 ppm) ... OK  (5s, p_dip=-0.0039, s_dip=-0.0039, oe_amp=0.0008)
  [108/400] CONF TOI-5959.01    (depth=   7176 ppm) ... OK  (6s, p_dip=-0.0031, s_dip=-0.0031, oe_amp=0.0012)
  [109/400] CONF TOI-483.01     (depth=   7074 ppm) ... OK  (6s, p_dip=-0.0028, s_dip=-0.0028, oe_amp=0.0009)
  [110/400] CONF TOI-4431.01    (depth=   7009 ppm) ... OK  (8s, p_dip=-0.0028, s_dip=-0.0028, oe_amp=0.0011)
  [111/400] CONF TOI-1194.01    (depth=   6911 ppm) ... OK  (9s, p_dip=-0.0042, s_dip=-0.0042, oe_amp=0.0003)
  [112/400] CONF TOI-3568.01    (depth=   6790 ppm) ... OK  (4s, p_dip=-0.0050, s_dip=-0.0050, oe_amp=0.0014)
  [113/400] CONF TOI-3976.01    (depth=   6740 ppm) ... FAIL (2s): No TESS SPOC 2-min light curves for TIC 154293917
  [114/400] CONF TOI-1161.01    (depth=   6650 ppm) ... OK  (12s, p_dip=-0.0046, s_dip=-0.0046, oe_amp=0.0003)
  [115/400] CONF TOI-256.01     (depth=   6560 ppm) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
OK  (2s, p_dip=-0.0011, s_dip=-0.0011, oe_amp=0.0005)
  [116/400] CONF TOI-2525.01    (depth=   6474 ppm) ... OK  (26s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0005)
  [117/400] CONF TOI-1904.01    (depth=   6380 ppm) ... OK  (6s, p_dip=-0.0034, s_dip=-0.0034, oe_amp=0.0005)
  [118/400] CONF TOI-5535.01    (depth=   6260 ppm) ... OK  (5s, p_dip=-0.0051, s_dip=-0.0051, oe_amp=0.0047)
  [119/400] CONF TOI-129.01     (depth=   6178 ppm) ... OK  (8s, p_dip=-0.0066, s_dip=-0.0066, oe_amp=0.0002)
  [120/400] CONF TOI-6963.01    (depth=   6132 ppm) ... OK  (6s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0030)
  [121/400] CONF TOI-1885.01    (depth=   6060 ppm) ... OK  (19s, p_dip=-0.0035, s_dip=-0.0035, oe_amp=0.0003)
  [122/400] CONF TOI-5153.01    (depth=   5936 ppm) ... OK  (3s, p_dip=-0.0020, s_dip=-0.0020, oe_amp=0.0015)
  [123/400] CONF TOI-4987.01    (depth=   5850 ppm) ... OK  (3s, p_dip=-0.0032, s_dip=-0.0032, oe_amp=0.0006)
  [124/400] CONF TOI-117.01     (depth=   5729 ppm) ... OK  (6s, p_dip=-0.0034, s_dip=-0.0034, oe_amp=0.0008)
  [125/400] CONF TOI-415.01     (depth=   5684 ppm) ... OK  (5s, p_dip=-0.0036, s_dip=-0.0036, oe_amp=0.0004)
