Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 250 confirmed, 250 FP
  [ 63/500] CONF K00412.01    (depth=   3681 ppm) ... OK  (7s, p_dip=-0.0036, s_dip=-0.0036, oe_amp=0.0001)
  [ 64/500] CONF K00834.01    (depth=   3342 ppm) ... OK  (8s, p_dip=-0.0032, s_dip=-0.0032, oe_amp=0.0002)
  [ 65/500] CONF K00137.02    (depth=   3269 ppm) ... OK  (9s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0001)
  [ 66/500] CONF K00676.01    (depth=   3139 ppm) ... OK  (8s, p_dip=-0.0030, s_dip=-0.0030, oe_amp=0.0006)
  [ 67/500] CONF K00219.01    (depth=   3120 ppm) ... OK  (2s, p_dip=-0.0031, s_dip=-0.0031, oe_amp=0.0001)
  [ 68/500] CONF K00841.01    (depth=   3081 ppm) ... OK  (9s, p_dip=-0.0028, s_dip=-0.0028, oe_amp=0.0009)
  [ 69/500] CONF K00884.01    (depth=   3036 ppm) ... OK  (2s, p_dip=-0.0027, s_dip=-0.0027, oe_amp=0.0001)
  [ 70/500] CONF K00467.01    (depth=   3004 ppm) ... OK  (8s, p_dip=-0.0027, s_dip=-0.0027, oe_amp=0.0001)
  [ 71/500] CONF K00229.01    (depth=   2975 ppm) ... OK  (8s, p_dip=-0.0030, s_dip=-0.0030, oe_amp=0.0001)
  [ 72/500] CONF K00433.01    (depth=   2908 ppm) ... OK  (2s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0002)
  [ 73/500] CONF K00843.01    (depth=   2877 ppm) ... OK  (8s, p_dip=-0.0028, s_dip=-0.0028, oe_amp=0.0001)
  [ 74/500] CONF K00781.01    (depth=   2804 ppm) ... OK  (8s, p_dip=-0.0021, s_dip=-0.0021, oe_amp=0.0002)
  [ 75/500] CONF K00250.01    (depth=   2795 ppm) ... OK  (2s, p_dip=-0.0022, s_dip=-0.0022, oe_amp=0.0002)
  [ 76/500] CONF K00429.01    (depth=   2792 ppm) ... OK  (7s, p_dip=-0.0025, s_dip=-0.0025, oe_amp=0.0002)
  [ 77/500] CONF K02842.01    (depth=   2755 ppm) ... OK  (1s, p_dip=-0.0026, s_dip=-0.0026, oe_amp=0.0004)
  [ 78/500] CONF K00420.01    (depth=   2652 ppm) ... OK  (8s, p_dip=-0.0025, s_dip=-0.0025, oe_amp=0.0001)
  [ 79/500] CONF K00463.01    (depth=   2605 ppm) ... OK  (8s, p_dip=-0.0005, s_dip=-0.0005, oe_amp=0.0002)
  [ 80/500] CONF K02704.02    (depth=   2598 ppm) ... OK  (1s, p_dip=-0.0023, s_dip=-0.0023, oe_amp=0.0007)
  [ 81/500] CONF K00816.01    (depth=   2472 ppm) ... OK  (6s, p_dip=-0.0024, s_dip=-0.0024, oe_amp=0.0002)
  [ 82/500] CONF K00209.02    (depth=   2431 ppm) ... OK  (2s, p_dip=-0.0024, s_dip=-0.0024, oe_amp=0.0001)
  [ 83/500] CONF K00941.03    (depth=   2399 ppm) ... OK  (7s, p_dip=-0.0006, s_dip=-0.0006, oe_amp=0.0002)
  [ 84/500] CONF K02842.02    (depth=   2355 ppm) ... OK  (1s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0004)
  [ 85/500] CONF K00439.01    (depth=   2344 ppm) ... OK  (8s, p_dip=-0.0023, s_dip=-0.0023, oe_amp=0.0001)
  [ 86/500] CONF K00941.01    (depth=   2319 ppm) ... OK  (1s, p_dip=-0.0022, s_dip=-0.0022, oe_amp=0.0001)
  [ 87/500] CONF K00253.01    (depth=   2313 ppm) ... OK  (7s, p_dip=-0.0021, s_dip=-0.0021, oe_amp=0.0003)
  [ 88/500] CONF K00255.01    (depth=   2313 ppm) ... OK  (2s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0002)
  [ 89/500] CONF K00252.01    (depth=   2292 ppm) ... OK  (8s, p_dip=-0.0017, s_dip=-0.0017, oe_amp=0.0003)
  [ 90/500] CONF K00137.01    (depth=   2270 ppm) ... OK  (2s, p_dip=-0.0022, s_dip=-0.0022, oe_amp=0.0000)
  [ 91/500] CONF K00875.01    (depth=   2260 ppm) ... OK  (8s, p_dip=-0.0022, s_dip=-0.0022, oe_amp=0.0002)
  [ 92/500] CONF K00936.01    (depth=   2237 ppm) ... OK  (8s, p_dip=-0.0020, s_dip=-0.0020, oe_amp=0.0002)
  [ 93/500] CONF K00232.01    (depth=   2232 ppm) ... OK  (2s, p_dip=-0.0022, s_dip=-0.0022, oe_amp=0.0001)
